ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85_89,F_90_94,F_95_99,F_100Plus,F_Unstated,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85_89,M_90_94,M_95_99,M_100Plus,M_Unstated,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80_84,T_85_89,T_90_94,T_95_99,T_100Plus,T_Unstated,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,population_share_%
Kenya,KE,Nairobi,KE047,2204376.0,2192452.0,4396828.0,260888.0,217482.0,193542.0,192755.0,313485.0,300845.0,245994.0,163995.0,113884.0,74213.0,47732.0,31862.0,19083.0,11925.0,7785.0,3962.0,2529.0,1253.0,603.0,319.0,171.0,69.0,264099.0,215230.0,185008.0,159098.0,249534.0,282703.0,249476.0,181801.0,139278.0,100719.0,66217.0,44739.0,24901.0,14458.0,8569.0,3475.0,1856.0,797.0,270.0,115.0,35.0,74.0,524987.0,432712.0,378550.0,351853.0,563019.0,583548.0,495470.0,345796.0,253162.0,174932.0,113949.0,76601.0,43984.0,26383.0,16354.0,7437.0,4385.0,2050.0,873.0,434.0,206.0,143.0,,,,,,,,,,,,,,,,,,,,,,,,,9.244263559743743
Kenya,KE,Kiambu,KE022,1230454.0,1187146.0,2417600.0,138012.0,120815.0,114114.0,110122.0,145119.0,131143.0,117478.0,91096.0,69940.0,54018.0,40104.0,30232.0,19355.0,15432.0,12420.0,8337.0,5666.0,3620.0,1733.0,1114.0,566.0,18.0,140129.0,120985.0,113216.0,101799.0,122974.0,122818.0,112118.0,90232.0,73113.0,58582.0,42612.0,31759.0,19630.0,14543.0,11176.0,5183.0,3323.0,1791.0,677.0,364.0,92.0,30.0,278141.0,241800.0,227330.0,211921.0,268093.0,253961.0,229596.0,181328.0,143053.0,112600.0,82716.0,61991.0,38985.0,29975.0,23596.0,13520.0,8989.0,5411.0,2410.0,1478.0,658.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,5.08296698939246
Kenya,KE,Nakuru,KE032,1084835.0,1077272.0,2162107.0,135314.0,132242.0,136219.0,116178.0,108930.0,94315.0,89498.0,64480.0,51924.0,42614.0,30965.0,25376.0,17059.0,13295.0,10321.0,6772.0,4247.0,2667.0,1247.0,733.0,429.0,10.0,138017.0,135252.0,138271.0,119280.0,103326.0,86502.0,81279.0,65698.0,56047.0,45618.0,32047.0,25322.0,16781.0,13259.0,9725.0,4863.0,3169.0,1630.0,641.0,387.0,127.0,31.0,273331.0,267494.0,274490.0,235458.0,212256.0,180817.0,170777.0,130178.0,107971.0,88232.0,63012.0,50698.0,33840.0,26554.0,20046.0,11635.0,7416.0,4297.0,1888.0,1120.0,556.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,4.545796868189264
Kenya,KE,Kakamega,KE037,970406.0,897133.0,1867539.0,113559.0,134555.0,147002.0,118406.0,79144.0,63950.0,66096.0,43063.0,42651.0,33453.0,29797.0,27417.0,23048.0,17267.0,12321.0,8419.0,5278.0,3276.0,979.0,554.0,156.0,15.0,112360.0,134230.0,144975.0,120265.0,70440.0,50363.0,50695.0,41408.0,38070.0,30545.0,24415.0,22399.0,19330.0,14387.0,10503.0,5649.0,3879.0,2105.0,746.0,306.0,47.0,16.0,225919.0,268785.0,291977.0,238671.0,149584.0,114313.0,116791.0,84471.0,80721.0,63998.0,54212.0,49816.0,42378.0,31654.0,22824.0,14068.0,9157.0,5381.0,1725.0,860.0,203.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,3.9264721576782784
Kenya,KE,Bungoma,KE039,858389.0,812146.0,1670535.0,110069.0,126486.0,133921.0,106485.0,74162.0,59132.0,57000.0,35486.0,34866.0,26841.0,22101.0,21266.0,16289.0,11977.0,8655.0,5840.0,3896.0,2503.0,848.0,465.0,100.0,1.0,109105.0,126822.0,133033.0,109337.0,65615.0,49457.0,46615.0,35762.0,32035.0,26584.0,19025.0,18428.0,14478.0,9746.0,6750.0,4028.0,2841.0,1629.0,555.0,253.0,41.0,7.0,219174.0,253308.0,266954.0,215822.0,139777.0,108589.0,103615.0,71248.0,66901.0,53425.0,41126.0,39694.0,30767.0,21723.0,15405.0,9868.0,6737.0,4132.0,1403.0,718.0,141.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,3.5122742635774045
Kenya,KE,Meru,KE012,777975.0,767698.0,1545673.0,84878.0,87068.0,97080.0,83385.0,67176.0,56462.0,60428.0,50953.0,41124.0,35146.0,23349.0,23555.0,18641.0,15419.0,13682.0,6713.0,6074.0,3217.0,1901.0,926.0,784.0,14.0,85384.0,87982.0,97842.0,81866.0,64934.0,56368.0,57082.0,53003.0,44922.0,35815.0,24760.0,22436.0,17297.0,14021.0,10957.0,5294.0,3909.0,2071.0,926.0,518.0,295.0,16.0,170262.0,175050.0,194922.0,165251.0,132110.0,112830.0,117510.0,103956.0,86046.0,70961.0,48109.0,45991.0,35938.0,29440.0,24639.0,12007.0,9983.0,5288.0,2827.0,1444.0,1079.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,3.24975382006751
Kenya,KE,Kilifi,KE003,749673.0,704089.0,1453762.0,99912.0,102458.0,103193.0,85085.0,71704.0,60525.0,54385.0,32187.0,33860.0,22598.0,18232.0,15716.0,17882.0,11435.0,8860.0,5000.0,3337.0,1878.0,752.0,418.0,245.0,11.0,100919.0,103727.0,103579.0,87265.0,63687.0,51335.0,41577.0,31026.0,29246.0,23908.0,17809.0,14330.0,11712.0,9900.0,6441.0,3726.0,1999.0,1124.0,406.0,249.0,118.0,6.0,200831.0,206185.0,206772.0,172350.0,135391.0,111860.0,95962.0,63213.0,63106.0,46506.0,36041.0,30046.0,29594.0,21335.0,15301.0,8726.0,5336.0,3002.0,1158.0,667.0,363.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0565123496166287
Kenya,KE,Machakos,KE016,711191.0,710707.0,1421898.0,72770.0,74089.0,82134.0,71840.0,65975.0,58769.0,57783.0,47027.0,40046.0,30876.0,23562.0,21631.0,18549.0,15250.0,10993.0,6914.0,5364.0,3267.0,2510.0,1193.0,643.0,6.0,74088.0,76471.0,84081.0,75280.0,65216.0,58218.0,56392.0,48810.0,41665.0,34014.0,23944.0,20955.0,18177.0,12831.0,8979.0,4167.0,3572.0,1799.0,1175.0,579.0,282.0,12.0,146858.0,150560.0,166215.0,147120.0,131191.0,116987.0,114175.0,95837.0,81711.0,64890.0,47506.0,42586.0,36726.0,28081.0,19972.0,11081.0,8936.0,5066.0,3685.0,1772.0,925.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,2.989518777416926
Kenya,KE,Kisii,KE045,661038.0,605784.0,1266822.0,71694.0,85870.0,97319.0,75025.0,56929.0,51801.0,54522.0,30559.0,26848.0,26405.0,14594.0,20538.0,16584.0,11775.0,8514.0,4438.0,3667.0,2209.0,955.0,486.0,299.0,7.0,71813.0,86080.0,98067.0,75142.0,45597.0,39271.0,39158.0,30178.0,26770.0,21495.0,14914.0,18077.0,14127.0,9754.0,7030.0,3439.0,2474.0,1485.0,534.0,272.0,92.0,15.0,143507.0,171950.0,195386.0,150167.0,102526.0,91072.0,93680.0,60737.0,53618.0,47900.0,29508.0,38615.0,30711.0,21529.0,15544.0,7877.0,6141.0,3694.0,1489.0,758.0,391.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,2.663473861447773
Kenya,KE,Mombasa,KE001,598046.0,610257.0,1208303.0,73178.0,65459.0,58280.0,53189.0,75911.0,72801.0,60864.0,42035.0,31720.0,21602.0,13602.0,10201.0,7385.0,4852.0,3319.0,1609.0,1136.0,509.0,225.0,98.0,59.0,12.0,74725.0,64527.0,57144.0,47544.0,63822.0,69827.0,61353.0,47078.0,40098.0,30665.0,19855.0,13871.0,8649.0,5391.0,3076.0,1436.0,722.0,294.0,98.0,54.0,14.0,14.0,147903.0,129986.0,115424.0,100733.0,139733.0,142628.0,122217.0,89113.0,71818.0,52267.0,33457.0,24072.0,16034.0,10243.0,6395.0,3045.0,1858.0,803.0,323.0,152.0,73.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,2.5404385598047146
Kenya,KE,Uasin Gishu,KE027,582889.0,580269.0,1163158.0,69877.0,69610.0,73534.0,66266.0,66126.0,54055.0,48143.0,32833.0,27058.0,21676.0,14210.0,12432.0,8462.0,6456.0,4474.0,3212.0,2017.0,1258.0,575.0,394.0,218.0,3.0,70346.0,70942.0,73326.0,65665.0,61489.0,52140.0,45310.0,35385.0,29544.0,23685.0,15566.0,12344.0,8519.0,6187.0,4223.0,2505.0,1548.0,824.0,375.0,264.0,73.0,9.0,140223.0,140552.0,146860.0,131931.0,127615.0,106195.0,93453.0,68218.0,56602.0,45361.0,29776.0,24776.0,16981.0,12643.0,8697.0,5717.0,3565.0,2082.0,950.0,658.0,291.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,2.4455218884214736
Kenya,KE,Narok,KE033,578805.0,579042.0,1157847.0,93485.0,98516.0,88364.0,60040.0,53325.0,43987.0,38085.0,22974.0,20566.0,16646.0,11450.0,9464.0,7415.0,4650.0,4195.0,2150.0,1666.0,864.0,455.0,260.0,244.0,4.0,94411.0,100521.0,91053.0,64783.0,47288.0,38968.0,35217.0,25713.0,21649.0,17961.0,12052.0,8889.0,6958.0,4993.0,3858.0,2065.0,1333.0,680.0,326.0,199.0,118.0,7.0,187896.0,199037.0,179417.0,124823.0,100613.0,82955.0,73302.0,48687.0,42215.0,34607.0,23502.0,18353.0,14373.0,9643.0,8053.0,4215.0,2999.0,1544.0,781.0,459.0,362.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,2.4343555922266265
Kenya,KE,Kisumu,KE042,594609.0,560942.0,1155551.0,70870.0,73933.0,82705.0,68693.0,61983.0,52430.0,48152.0,29237.0,23924.0,16384.0,14459.0,13958.0,12144.0,9273.0,7035.0,4040.0,2851.0,1594.0,577.0,255.0,97.0,15.0,70200.0,73732.0,81818.0,66211.0,51057.0,44356.0,42146.0,33546.0,27219.0,18030.0,13022.0,11174.0,9552.0,7294.0,5733.0,2611.0,1881.0,896.0,299.0,114.0,39.0,12.0,141070.0,147665.0,164523.0,134904.0,113040.0,96786.0,90298.0,62783.0,51143.0,34414.0,27481.0,25132.0,21696.0,16567.0,12768.0,6651.0,4732.0,2490.0,876.0,369.0,136.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,2.429528287375681
Kenya,KE,Kitui,KE015,587151.0,549003.0,1136154.0,62618.0,71465.0,85722.0,73603.0,45732.0,36234.0,38444.0,30672.0,27583.0,25769.0,18102.0,15928.0,13472.0,12418.0,11751.0,5970.0,5325.0,2604.0,2372.0,880.0,481.0,6.0,63572.0,73007.0,87724.0,77545.0,42988.0,31275.0,30247.0,26006.0,23761.0,21883.0,15717.0,13776.0,11532.0,10209.0,7705.0,4549.0,3591.0,1876.0,1206.0,558.0,272.0,4.0,126190.0,144472.0,173446.0,151148.0,88720.0,67509.0,68691.0,56678.0,51344.0,47652.0,33819.0,29704.0,25004.0,22627.0,19456.0,10519.0,8916.0,4480.0,3578.0,1438.0,753.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,2.3887463918208973
Kenya,KE,Homa Bay,KE043,592367.0,539560.0,1131927.0,77663.0,83842.0,90367.0,67917.0,52595.0,42526.0,42841.0,24384.0,22575.0,17715.0,13315.0,14417.0,12654.0,10161.0,8340.0,4583.0,3451.0,1965.0,636.0,298.0,116.0,6.0,78031.0,83119.0,90967.0,68870.0,43397.0,32978.0,31462.0,25557.0,21424.0,14437.0,10261.0,10083.0,9141.0,7191.0,5894.0,2811.0,2105.0,1159.0,413.0,183.0,74.0,3.0,155694.0,166961.0,181334.0,136787.0,95992.0,75504.0,74303.0,49941.0,43999.0,32152.0,23576.0,24500.0,21795.0,17352.0,14234.0,7394.0,5556.0,3124.0,1049.0,481.0,190.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,2.379859189031287
Kenya,KE,Kajiado,KE034,560704.0,557098.0,1117802.0,77385.0,72350.0,65659.0,51721.0,64676.0,59489.0,50284.0,33284.0,25175.0,18734.0,13269.0,9333.0,6896.0,4280.0,3490.0,1802.0,1340.0,704.0,394.0,245.0,186.0,8.0,78943.0,73245.0,63973.0,49647.0,54143.0,55664.0,49549.0,37290.0,28158.0,22305.0,15555.0,10289.0,7031.0,4441.0,3302.0,1596.0,964.0,534.0,244.0,137.0,75.0,13.0,156328.0,145595.0,129632.0,101368.0,118819.0,115153.0,99833.0,70574.0,53333.0,41039.0,28824.0,19622.0,13927.0,8721.0,6792.0,3398.0,2304.0,1238.0,638.0,382.0,261.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,2.3501615927683948
Kenya,KE,Migori,KE044,580214.0,536187.0,1116401.0,81289.0,86241.0,90228.0,67834.0,55855.0,43876.0,40183.0,22864.0,20485.0,16694.0,11988.0,11694.0,9620.0,7529.0,5607.0,3443.0,2473.0,1429.0,493.0,256.0,121.0,12.0,80137.0,85481.0,89402.0,66844.0,44983.0,35961.0,32393.0,24516.0,20201.0,15074.0,10121.0,8818.0,7489.0,5428.0,4160.0,2212.0,1564.0,887.0,303.0,141.0,67.0,5.0,161426.0,171722.0,179630.0,134678.0,100838.0,79837.0,72576.0,47380.0,40686.0,31768.0,22109.0,20512.0,17109.0,12957.0,9767.0,5655.0,4037.0,2316.0,796.0,397.0,188.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,2.347216011716054
Kenya,KE,Murang'a,KE021,532669.0,523940.0,1056609.0,54819.0,56687.0,57807.0,50160.0,37212.0,32975.0,36354.0,34523.0,31021.0,28255.0,23528.0,22035.0,15823.0,14856.0,13123.0,9160.0,6312.0,4001.0,2112.0,1205.0,695.0,6.0,55695.0,57564.0,59951.0,55307.0,38214.0,31823.0,35380.0,34374.0,31951.0,28548.0,22188.0,20187.0,14624.0,13356.0,11534.0,5793.0,3811.0,2163.0,866.0,451.0,152.0,8.0,110514.0,114251.0,117758.0,105467.0,75426.0,64798.0,71734.0,68897.0,62972.0,56803.0,45716.0,42222.0,30447.0,28212.0,24657.0,14953.0,10123.0,6164.0,2978.0,1656.0,847.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,2.2215042470611257
Kenya,KE,Siaya,KE041,521496.0,471669.0,993165.0,60791.0,69093.0,75099.0,58076.0,43237.0,36496.0,36089.0,23653.0,21014.0,16305.0,15502.0,15211.0,14319.0,12241.0,9897.0,6058.0,4492.0,2641.0,850.0,307.0,115.0,10.0,60867.0,68743.0,76049.0,59306.0,36412.0,28810.0,29232.0,23916.0,20143.0,14254.0,11400.0,10235.0,9450.0,8101.0,6669.0,3383.0,2597.0,1398.0,486.0,161.0,43.0,14.0,121658.0,137836.0,151148.0,117382.0,79649.0,65306.0,65321.0,47569.0,41157.0,30559.0,26902.0,25446.0,23769.0,20342.0,16566.0,9441.0,7089.0,4039.0,1336.0,468.0,158.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,2.088114208314015
